	ORF	Metabolite
0	YAL060W	NADH
0	YAL060W	(R,R)-2,3-butanediol
0	YAL060W	NAD
0	YAL061W	NADH
0	YAL061W	H+
0	YAL061W	diacetyl
0	YAL061W	NAD
0	YAL061W	(R)-acetoin
0	YAL062W	H2O
0	YAL062W	L-glutamate
0	YAL062W	NADP(+)
0	YAL062W	2-oxoglutarate
0	YAL062W	ammonium
0	YAL062W	H+
0	YAL062W	NADPH
0	YAR015W	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole
0	YAR015W	ADP
0	YAR015W	H+
0	YAR015W	phosphate
0	YAR015W	phosphoribosyl-carboxy-aminoimidazole
0	YAR015W	ATP
0	YAR015W	L-aspartate
0	YAR035W	O-acetylcarnitine
0	YAR035W	coenzyme A
0	YAR035W	(R)-carnitine
0	YAR035W	acetyl-CoA
0	YAR071W	phosphate
0	YAR071W	riboflavin
0	YAR071W	H2O
0	YAR071W	FMN
0	YBL011W	acylglycerone phosphate (16:1)
0	YBL011W	coenzyme A
0	YBL011W	dihydroxyacetone phosphate
0	YBL011W	palmitoleoyl-CoA(4-)
0	YBL011W	H+
0	YBL011W	1-acyl-sn-glycerol 3-phosphate (16:0)
0	YBL011W	glycerol 3-phosphate
0	YBL011W	palmitoyl-CoA
0	YBL011W	1-acyl-sn-glycerol 3-phosphate (16:1)
0	YBL011W	acylglycerone phosphate (16:0)
0	YBL013W	H+
0	YBL013W	THF
0	YBL013W	fMet-tRNA(fMet)
0	YBL013W	10-formyl-THF
0	YBL013W	Met-tRNA(Met)
0	YBL015W	coenzyme A
0	YBL015W	acetate
0	YBL015W	H+
0	YBL015W	acetyl-CoA
0	YBL015W	H2O
0	YBL015W	succinate
0	YBL015W	succinyl-CoA
0	YBL030C	ADP
0	YBL030C	ATP
0	YBL033C	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine
0	YBL033C	formate
0	YBL033C	diphosphate
0	YBL033C	H+
0	YBL033C	GTP
0	YBL033C	H2O
0	YBL039C	L-glutamate
0	YBL039C	CTP
0	YBL039C	H+
0	YBL039C	phosphate
0	YBL039C	ADP
0	YBL039C	ATP
0	YBL039C	H2O
0	YBL039C	L-glutamine
0	YBL039C	UTP
0	YBL039C	ammonium
0	YBL042C	2'-deoxyuridine
0	YBL042C	H+
0	YBL042C	uridine
0	YBL045C	ubiquinone-6
0	YBL045C	H+
0	YBL045C	ferrocytochrome c
0	YBL045C	ubiquinol-6
0	YBL045C	ferricytochrome c
0	YBL064C	TRX1 disulphide
0	YBL064C	H2O
0	YBL064C	TRX1
0	YBL064C	hydrogen peroxide
0	YBL064C	H+
0	YBL068W	H+
0	YBL068W	PRPP
0	YBL068W	AMP
0	YBL068W	ribose-5-phosphate
0	YBL068W	ATP
0	YBL076C	AMP
0	YBL076C	Ile-tRNA(Ile)
0	YBL076C	diphosphate
0	YBL076C	L-isoleucine
0	YBL076C	tRNA(Ile)
0	YBL076C	ATP
0	YBL080C	L-glutamate
0	YBL080C	Gln-tRNA(Gln)
0	YBL080C	ADP
0	YBL080C	phosphate
0	YBL080C	H+
0	YBL080C	H2O
0	YBL080C	L-glutamine
0	YBL080C	ATP
0	YBL080C	L-glutamyl-tRNA(Gln)
0	YBL091C	L-alanine
0	YBL091C	L-methionine
0	YBL091C	H2O
0	YBL091C	Met-Ala
0	YBL098W	H2O
0	YBL098W	3-hydroxy-L-kynurenine
0	YBL098W	NADP(+)
0	YBL098W	L-kynurenine
0	YBL098W	NADPH
0	YBL098W	oxygen
0	YBL098W	H+
0	YBL099W	H+
0	YBL099W	H2O
0	YBL099W	ATP
0	YBL099W	phosphate
0	YBL099W	ADP
0	YBR001C	D-glucose
0	YBR001C	H2O
0	YBR001C	trehalose
0	YBR002C	diphosphate
0	YBR002C	docosaprenyl diphosphate
0	YBR002C	henicosaprenyl diphosphate
0	YBR002C	isopentenyl diphosphate
0	YBR002C	octaprenyl diphosphate
0	YBR002C	heptaprenyl diphosphate
0	YBR002C	icosaprenyl diphosphate
0	YBR002C	dodecaprenyl diphosphate
0	YBR002C	undecaprenyl diphosphate
0	YBR002C	octadecaprenyl diphosphate
0	YBR002C	heptadecaprenyl diphosphate
0	YBR002C	nonadecaprenyl diphosphate
0	YBR002C	hexadecaprenyl diphosphate
0	YBR002C	pentadecaprenyl diphosphate
0	YBR002C	hexaprenyl diphosphate
0	YBR002C	decaprenyl diphosphate
0	YBR002C	tetradecaprenyl diphosphate
0	YBR002C	tridecaprenyl diphosphate
0	YBR002C	nonaprenyl diphosphate
0	YBR002C	geranylgeranyl diphosphate
0	YBR002C	farnesyl diphosphate
0	YBR002C	pentaprenyl diphosphate
0	YBR003W	diphosphate
0	YBR003W	hexaprenyl diphosphate
0	YBR003W	pentaprenyl diphosphate
0	YBR003W	isopentenyl diphosphate
0	YBR004C	6-O-{alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol
0	YBR004C	dolichyl phosphate
0	YBR004C	6-O-{2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol
0	YBR004C	dolichyl D-mannosyl phosphate
0	YBR006W	succinate
0	YBR006W	NADPH
0	YBR006W	H+
0	YBR006W	NADP(+)
0	YBR006W	H2O
0	YBR006W	succinic semialdehyde
0	YBR011C	phosphate
0	YBR011C	H+
0	YBR011C	diphosphate
0	YBR011C	H2O
0	YBR018C	D-glucose 1-phosphate
0	YBR018C	UDP-D-galactose
0	YBR018C	alpha-D-galactose 1-phosphate
0	YBR018C	UDP-D-glucose
0	YBR018C	diphosphate
0	YBR018C	UTP
0	YBR018C	H+
0	YBR019C	UDP-D-galactose
0	YBR019C	UDP-D-glucose
0	YBR020W	H+
0	YBR020W	alpha-D-galactose 1-phosphate
0	YBR020W	ADP
0	YBR020W	D-galactose
0	YBR020W	ATP
0	YBR021W	uracil
0	YBR021W	H+
0	YBR022W	ADP-ribose
0	YBR022W	phosphate
0	YBR022W	H2O
0	YBR022W	ADP-D-ribose 1''-phosphate
0	YBR023C	chitin
0	YBR023C	H+
0	YBR023C	UDP
0	YBR023C	UDP-N-acetyl-alpha-D-glucosamine
0	YBR026C	octanoyl-ACP
0	YBR026C	NADP(+)
0	YBR026C	H+
0	YBR026C	trans-oct-2-enoyl-ACP
0	YBR026C	NADPH
0	YBR026C	butanoyl-ACP
0	YBR026C	trans-but-2-enoyl-ACP
0	YBR026C	hexanoyl-ACP
0	YBR026C	trans-hex-2-enoyl-ACP
0	YBR029C	diphosphate
0	YBR029C	CDP-diacylglycerol (1-16:0, 2-16:1)
0	YBR029C	CTP
0	YBR029C	phosphatidate (1-16:0, 2-16:1)
0	YBR029C	H+
0	YBR029C	CDP-diacylglycerol (1-18:1, 2-16:1)
0	YBR029C	phosphatidate (1-18:1, 2-16:1)
0	YBR029C	CDP-diacylglycerol (1-16:1, 2-18:1)
0	YBR029C	phosphatidate (1-16:1, 2-18:1)
0	YBR029C	CDP-diacylglycerol (1-16:1, 2-16:1)
0	YBR029C	phosphatidate (1-16:1, 2-16:1)
0	YBR029C	CDP-diacylglycerol (1-18:1, 2-18:1)
0	YBR029C	phosphatidate (1-18:1, 2-18:1)
0	YBR029C	CDP-diacylglycerol (1-16:0, 2-18:1)
0	YBR029C	phosphatidate (1-16:0, 2-18:1)
0	YBR029C	CDP-diacylglycerol (1-18:0, 2-16:1)
0	YBR029C	phosphatidate (1-18:0, 2-16:1)
0	YBR029C	CDP-diacylglycerol (1-18:0, 2-18:1)
0	YBR029C	phosphatidate (1-18:0, 2-18:1)
0	YBR034C	S-adenosyl-L-homocysteine
0	YBR034C	H+
0	YBR034C	N(pros)-methyl-L-histidine
0	YBR034C	L-histidine
0	YBR034C	S-adenosyl-L-methionine
0	YBR035C	hydrogen peroxide
0	YBR035C	pyridoxal 5'-phosphate
0	YBR035C	pyridoxine 5'-phosphate
0	YBR035C	oxygen
0	YBR035C	pyridoxal
0	YBR035C	pyridoxine
0	YBR035C	pyridoxamine
0	YBR035C	ammonium
0	YBR035C	H2O
0	YBR035C	pyridoxamine 5'-phosphate
0	YBR036C	H+
0	YBR036C	mannosylinositol phosphorylceramide D (C24)
0	YBR036C	GDP
0	YBR036C	inositol-P-ceramide D (C24)
0	YBR036C	GDP-alpha-D-mannose
0	YBR036C	mannosylinositol phosphorylceramide A (C24)
0	YBR036C	inositol-P-ceramide A (C24)
0	YBR036C	mannosylinositol phosphorylceramide B' (C26)
0	YBR036C	inositol-P-ceramide B' (C26)
0	YBR036C	mannosylinositol phosphorylceramide C (C26)
0	YBR036C	inositol-P-ceramide C (C26)
0	YBR036C	mannosylinositol phosphorylceramide B (C24)
0	YBR036C	inositol-P-ceramide B (C24)
0	YBR036C	mannosylinositol phosphorylceramide C (C24)
0	YBR036C	inositol-P-ceramide C (C24)
0	YBR036C	mannosylinositol phosphorylceramide B' (C24)
0	YBR036C	inositol-P-ceramide B' (C24)
0	YBR036C	mannosylinositol phosphorylceramide D (C26)
0	YBR036C	inositol-P-ceramide D (C26)
0	YBR036C	mannosylinositol phosphorylceramide A (C26)
0	YBR036C	inositol-P-ceramide A (C26)
0	YBR036C	mannosylinositol phosphorylceramide B (C26)
0	YBR036C	inositol-P-ceramide B (C26)
0	YBR038W	chitin
0	YBR038W	H+
0	YBR038W	UDP
0	YBR038W	UDP-N-acetyl-alpha-D-glucosamine
0	YBR039W	H+
0	YBR039W	H2O
0	YBR039W	ATP
0	YBR039W	phosphate
0	YBR039W	ADP
0	YBR041W	palmitoleate
0	YBR041W	laurate
0	YBR041W	docosanoyl-CoA
0	YBR041W	AMP
0	YBR041W	diphosphate
0	YBR041W	coenzyme A
0	YBR041W	behenate
0	YBR041W	ATP
0	YBR041W	hexacosanoyl-CoA
0	YBR041W	cerotic acid
0	YBR041W	palmitate
0	YBR041W	stearate
0	YBR041W	tetracosanoyl-CoA
0	YBR041W	lignoceric acid
0	YBR041W	oleate
0	YBR041W	decanoate
0	YBR042C	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)
0	YBR042C	coenzyme A
0	YBR042C	stearoyl-CoA
0	YBR042C	sn-2-acyl-1-lysophosphatidylinositol (16:1)
0	YBR042C	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)
0	YBR042C	sn-2-acyl-1-lysophosphatidylinositol (18:1)
0	YBR046C	1,4-benzosemiquinone
0	YBR046C	NADP(+)
0	YBR046C	NADPH
0	YBR046C	H+
0	YBR046C	quinone
0	YBR068C	H+
0	YBR068C	L-valine
0	YBR068C	L-methionine
0	YBR068C	L-phenylalanine
0	YBR068C	L-leucine
0	YBR068C	L-tryptophan
0	YBR068C	L-cysteine
0	YBR068C	L-isoleucine
0	YBR068C	L-tyrosine
0	YBR069C	L-isoleucine
0	YBR069C	H+
0	YBR069C	L-valine
0	YBR069C	L-cysteine
0	YBR069C	L-histidine
0	YBR069C	L-tryptophan
0	YBR069C	L-leucine
0	YBR069C	L-tyrosine
0	YBR070C	UDP
0	YBR070C	H+
0	YBR070C	N,N'-Chitobiosyldiphosphodolichol
0	YBR070C	UDP-N-acetyl-alpha-D-glucosamine
0	YBR070C	N-Acetyl-D-glucosaminyldiphosphodolichol
0	YBR084W	NADPH
0	YBR084W	5,10-methenyl-THF
0	YBR084W	5,10-methylenetetrahydrofolate
0	YBR084W	NADP(+)
0	YBR084W	H+
0	YBR084W	10-formyl-THF
0	YBR084W	H2O
0	YBR084W	phosphate
0	YBR084W	ADP
0	YBR084W	ATP
0	YBR084W	formate
0	YBR084W	THF
0	YBR085W	ADP
0	YBR085W	ATP
0	YBR092C	thiamine
0	YBR092C	phosphate
0	YBR092C	H2O
0	YBR092C	TMP
0	YBR092C	H+
0	YBR092C	TDP
0	YBR092C	riboflavin
0	YBR092C	FMN
0	YBR093C	phosphate
0	YBR093C	riboflavin
0	YBR093C	H2O
0	YBR093C	FMN
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)
0	YBR097W	ADP
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)
0	YBR097W	H+
0	YBR097W	ATP
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)
0	YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)
0	YBR110W	GDP
0	YBR110W	H+
0	YBR110W	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
0	YBR110W	GDP-alpha-D-mannose
0	YBR110W	N,N'-diacetylchitobiosyldiphosphodolichol
0	YBR111C	H+
0	YBR111C	AMP
0	YBR111C	D-ribofuranose 5-phosphate
0	YBR111C	ADP-ribose
0	YBR111C	H2O
0	YBR115C	L-allysine
0	YBR115C	NADP(+)
0	YBR115C	AMP
0	YBR115C	diphosphate
0	YBR115C	ATP
0	YBR115C	H+
0	YBR115C	NADPH
0	YBR115C	L-2-aminoadipate
0	YBR117C	glyceraldehyde 3-phosphate
0	YBR117C	D-fructose 6-phosphate
0	YBR117C	D-xylulose 5-phosphate
0	YBR117C	D-erythrose 4-phosphate
0	YBR117C	sedoheptulose 7-phosphate
0	YBR117C	ribose-5-phosphate
0	YBR121C	Gly-tRNA(Gly)
0	YBR121C	diphosphate
0	YBR121C	AMP
0	YBR121C	ATP
0	YBR121C	tRNA(Gly)
0	YBR121C	L-glycine
0	YBR126C	phosphate
0	YBR126C	trehalose
0	YBR126C	alpha,alpha-trehalose 6-phosphate
0	YBR126C	H2O
0	YBR126C	H+
0	YBR126C	UDP
0	YBR126C	D-glucose 6-phosphate
0	YBR126C	UDP-D-glucose
0	YBR127C	phosphate
0	YBR127C	H+
0	YBR127C	ADP
0	YBR127C	ATP
0	YBR127C	H2O
0	YBR128C	ADP
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)
0	YBR128C	H+
0	YBR128C	ATP
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)
0	YBR128C	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)
0	YBR132C	spermidine
0	YBR132C	H+
0	YBR132C	(R)-carnitine
0	YBR145W	2-phenylethanol
0	YBR145W	NAD
0	YBR145W	NADH
0	YBR145W	phenylacetaldehyde
0	YBR145W	H+
0	YBR145W	propanol
0	YBR145W	propanal
0	YBR145W	ethanol
0	YBR145W	acetaldehyde
0	YBR145W	isoamylol
0	YBR145W	3-methylbutanal
0	YBR145W	2-methylbutanol
0	YBR145W	2-methylbutanal
0	YBR145W	tryptophol
0	YBR145W	indol-3-ylacetaldehyde
0	YBR145W	tyrosol
0	YBR145W	(4-hydroxyphenyl)acetaldehyde
0	YBR145W	isobutanol
0	YBR145W	isobutyraldehyde
0	YBR145W	methionol
0	YBR145W	methional
0	YBR147W	H+
0	YBR147W	L-arginine
0	YBR147W	L-lysine
0	YBR147W	L-histidine
0	YBR149W	H+
0	YBR149W	D-arabinono-1,4-lactone
0	YBR149W	NADPH
0	YBR149W	D-arabinose
0	YBR149W	NADP(+)
0	YBR153W	NADP(+)
0	YBR153W	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone
0	YBR153W	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine
0	YBR153W	NADPH
0	YBR153W	H+
0	YBR159W	3-hydroxytetracosanoyl-CoA
0	YBR159W	NADP(+)
0	YBR159W	NADPH
0	YBR159W	H+
0	YBR159W	3-oxotetracosanoyl-CoA
0	YBR159W	3-hydroxydocosanoyl-CoA
0	YBR159W	3-oxodocosanoyl-CoA
0	YBR159W	(S)-3-hydroxytetradecanoyl-CoA
0	YBR159W	3-oxotetradecanoyl-CoA
0	YBR159W	3-hydroxyoctadecanoyl-CoA
0	YBR159W	3-oxooctadecanoyl-CoA
0	YBR159W	3-hydroxyicosanoyl-CoA
0	YBR159W	3-oxoicosanoyl-CoA
0	YBR159W	(S)-3-hydroxypalmitoyl-CoA
0	YBR159W	3-oxopalmitoyl-CoA
0	YBR159W	(S)-3-hydroxyhexacosanoyl-CoA
0	YBR159W	3-oxohexacosanoyl-CoA
0	YBR161W	H+
0	YBR161W	mannosylinositol phosphorylceramide B' (C24)
0	YBR161W	GDP
0	YBR161W	GDP-alpha-D-mannose
0	YBR161W	inositol-P-ceramide B' (C24)
0	YBR161W	mannosylinositol phosphorylceramide A (C24)
0	YBR161W	inositol-P-ceramide A (C24)
0	YBR161W	mannosylinositol phosphorylceramide B (C24)
0	YBR161W	inositol-P-ceramide B (C24)
0	YBR161W	mannosylinositol phosphorylceramide B' (C26)
0	YBR161W	inositol-P-ceramide B' (C26)
0	YBR161W	mannosylinositol phosphorylceramide C (C26)
