	ORF1	ORF2
0	YEL069C	YEL069C
0	YEL069C	YDL245C
0	YEL069C	YJL219W
0	YEL069C	YNR072W
0	YEL069C	YHR096C
0	YEL070W	YNR073C
0	YEL071W	YJR048W
0	YER003C	YER003C
0	YER005W	YER005W
0	YER005W	YPL036W
0	YER010C	YER010C
0	YER014W	YER014W
0	YER015W	YER015W
0	YER015W	YIL009W
0	YER015W	YMR246W
0	YER019W	YER019W
0	YER023W	YER023W
0	YER024W	YAR035W
0	YER026C	YER026C
0	YER037W	YGL224C
0	YER037W	YER037W
0	YER042W	YER042W
0	YER043C	YER043C
0	YER052C	YER052C
0	YER053C	YER053C
0	YER055C	YER055C
0	YER056C	YER056C
0	YER056C	YER060W-A
0	YER060W	YER056C
0	YER060W	YER060W-A
0	YER061C	YER061C
0	YER061C	YKL192C
0	YER062C	YER062C
0	YER062C	YIL053W
0	YER065C	YER065C
0	YER069W	YER069W
0	YER070W	YER070W
0	YER070W	YGR180C
0	YER070W	YJL026W
0	YER073W	YOR374W
0	YER081W	YER081W
0	YER086W	YER086W
0	YER087W	YER087W
0	YER090W	YER090W
0	YER091C	YER091C
0	YER099C	YKL181W
0	YER119C	YER119C
0	YER141W	YER141W
0	YER152C	YER152C
0	YER163C	YER163C
0	YER170W	YER170W
0	YER174C	YCL035C
0	YER175C	YER175C
0	YER178W	YFL018C
0	YER183C	YER183C
0	YHL003C	YHL003C
0	YHL003C	YMR298W
0	YHL003C	YKL008C
0	YHL011C	YKL181W
0	YHL012W	YKL035W
0	YHL016C	YHL016C
0	YHL018W	YHL018W
0	YHL032C	YHL032C
0	YHL036W	YDR508C
0	YHR002W	YHR002W
0	YHR007C	YHR042W
0	YHR008C	YHR008C
0	YHR011W	YDR023W
0	YHR013C	YDL040C
0	YHR018C	YHR018C
0	YHR019C	YHR019C
0	YHR020W	YHR020W
0	YHR025W	YHR025W
0	YHR026W	YPL234C
0	YHR026W	YOR270C
0	YHR037W	YHR037W
0	YHR042W	YHR042W
0	YHR043C	YHR044C
0	YHR044C	YHR044C
0	YHR046C	YDR287W
0	YHR051W	Q0045
0	YHR063C	YHR063C
0	YHR067W	YHR067W
0	YHR068W	YHR068W
0	YHR072W	YHR072W
0	YHR074W	YHR074W
0	YHR091C	YHR091C
0	YHR092C	YDR342C
0	YHR092C	YJL219W
0	YHR092C	YHR092C
0	YHR092C	YDL245C
0	YHR092C	YHR096C
0	YHR092C	YNR072W
0	YHR094C	YDL245C
0	YHR094C	YNR072W
0	YHR094C	YHR096C
0	YHR096C	YDL245C
0	YHR096C	YHR096C
0	YHR096C	YJL219W
0	YHR096C	YNR072W
0	YHR100C	YHR100C
0	YHR104W	YHR104W
0	YHR104W	YDR368W
0	YHR106W	YCR083W
0	YHR109W	YHR109W
0	YHR116W	Q0045
0	YHR119W	YDR440W
0	YHR123W	YNL130C
0	YHR123W	YHR123W
0	YHR128W	YHR128W
0	YHR137W	YGL202W
0	YHR137W	YHR137W
0	YHR144C	YHR144C
0	YHR162W	YGL080W
0	YHR163W	YGR248W
0	YHR174W	YOR393W
0	YHR183W	YHR183W
0	YHR190W	YHR190W
0	YHR201C	YDR452W
0	YHR201C	YHR201C
0	YHR208W	YHR208W
0	YHR208W	YGL202W
0	YHR215W	YAR071W
0	YHR216W	YML056C
0	YIL002C	YIL002C
0	YIL002C	YNL106C
0	YIL002C	YOR109W
0	YIL006W	YIL006W
0	YIL006W	YEL006W
0	YIL009W	YIL009W
