Feature	weight	gain	cover	total_gain	total_cover
ilp1	31.0	30522.251953125	4.645161151885986	946189.8125	144.0
ilp4	2.0	63236.78125	11.0	126473.5625	22.0
ilp5	9.0	15727.970703125	5.333333492279053	141551.734375	48.0
ilp14	7.0	10583.8798828125	3.0	74087.15625	21.0
ilp15	18.0	20705.3984375	5.888888835906982	372697.15625	106.0
ilp20	13.0	37787.77734375	4.384615421295166	491241.125	57.0
ilp21	6.0	14331.125	3.8333332538604736	85986.75	23.0
ilp22	8.0	238935.609375	5.875	1911484.875	47.0
ilp23	8.0	42962.984375	5.5	343703.875	44.0
ilp24	3.0	79224.4140625	4.666666507720947	237673.234375	14.0
ilp25	7.0	123798.0625	71.28571319580078	866586.4375	499.0
ilp26	12.0	96562.28125	8.25	1158747.375	99.0
ilp27	9.0	68425.125	9.222222328186035	615826.125	83.0
ilp28	14.0	146642.671875	15.5	2052997.5	217.0
ilp29	4.0	87158.796875	37.25	348635.1875	149.0
ilp30	4.0	94432.1875	15.0	377728.75	60.0
ilp31	7.0	63192.84765625	9.142857551574707	442349.9375	64.0
ilp32	6.0	54237.88671875	5.333333492279053	325427.3125	32.0
ilp33	5.0	79871.765625	1571.5999755859375	399358.8125	7858.0
ilp34	12.0	115181.34375	10.5	1382176.125	126.0
ilp35	18.0	184440.3125	1521.1666259765625	3319925.75	27381.0
ilp36	1.0	187773.46875	23.0	187773.46875	23.0
ilp39	1.0	84130.375	9.0	84130.375	9.0
ilp40	4.0	213538.125	8.75	854152.5	35.0
ilp43	4.0	126833.0078125	45.75	507332.03125	183.0
ilp44	1.0	156876.53125	14.0	156876.53125	14.0
ilp46	13.0	268302.125	610.4615478515625	3487927.5	7936.0
ilp47	3.0	26868.0	10.0	80604.0	30.0
ilp48	1.0	7945.578125	5.0	7945.578125	5.0
ilp49	5.0	116090.078125	22.399999618530273	580450.375	112.0
ilp50	11.0	960261.4375	2566.272705078125	10562876.0	28229.0
ilp51	9.0	755540.6875	2118.111083984375	6799866.0	19063.0
ilp52	7.0	47992.26953125	7.4285712242126465	335945.875	52.0
ilp53	6.0	82451.421875	658.3333129882812	494708.53125	3950.0
ilp54	1.0	243228.59375	44.0	243228.59375	44.0
ilp55	5.0	113760.1640625	11.399999618530273	568800.8125	57.0
ilp57	7.0	139100.828125	27.0	973705.8125	189.0
ilp58	1.0	35539.3359375	7.0	35539.3359375	7.0
ilp59	3.0	206449.125	12.666666984558105	619347.375	38.0
ilp60	4.0	100981.5	991.25	403926.0	3965.0
ilp61	5.0	102135.890625	37.79999923706055	510679.46875	189.0
ilp62	2.0	42179.73828125	10.5	84359.4765625	21.0
ilp63	12.0	589236.25	1991.8333740234375	7070835.0	23902.0
ilp66	1.0	81821.2109375	74.0	81821.2109375	74.0
ilp67	19.0	716940.375	3507.052734375	13621867.0	66634.0
ilp68	1.0	614656.0	124.0	614656.0	124.0
ilp71	3.0	229606.875	72.33333587646484	688820.625	217.0
ilp72	2.0	95649.40625	1948.5	191298.8125	3897.0
ilp73	17.0	704259.375	3815.411865234375	11972409.0	64862.0
ilp74	11.0	425017.28125	3802.727294921875	4675190.0	41830.0
ilp75	1.0	50123.8359375	8.0	50123.8359375	8.0
ilp76	1.0	696866.0	150.0	696866.0	150.0
ilp78	19.0	583020.375	2964.368408203125	11077387.0	56323.0
ilp79	2.0	59818.328125	17.0	119636.65625	34.0
ilp80	1.0	40814.0	11.0	40814.0	11.0
ilp81	7.0	367242.0	17.0	2570694.0	119.0
ilp84	1.0	271312.5	4.0	271312.5	4.0
ilp85	1.0	93849.734375	3837.0	93849.734375	3837.0
ilp86	1.0	90304.875	4.0	90304.875	4.0
ilp87	1.0	147642.59375	49.0	147642.59375	49.0
ilp89	9.0	129366.7109375	10.55555534362793	1164300.375	95.0
ilp90	1.0	263755.625	22.0	263755.625	22.0
ilp93	1.0	171411.75	246.0	171411.75	246.0
ilp99	1.0	94472.4375	4000.0	94472.4375	4000.0
