Feature	weight	gain	cover	total_gain	total_cover
ilp1	29.0	2616.26123046875	3.4482758045196533	75871.578125	100.0
ilp4	1.0	3861.6728515625	7.0	3861.6728515625	7.0
ilp5	1.0	17225.421875	12.0	17225.421875	12.0
ilp14	11.0	2839.0908203125	8.272727012634277	31230.0	91.0
ilp15	27.0	41520.71484375	42.85185241699219	1121059.25	1157.0
ilp20	51.0	10988.1064453125	3.843137264251709	560393.4375	196.0
ilp21	14.0	3245.52197265625	4.785714149475098	45437.30859375	67.0
ilp22	7.0	6415.7109375	7.714285850524902	44909.9765625	54.0
ilp23	12.0	3953.533447265625	6.916666507720947	47442.40234375	83.0
ilp24	22.0	4077.577392578125	7.2727274894714355	89706.703125	160.0
ilp25	5.0	12165.90234375	113.80000305175781	60829.51171875	569.0
ilp26	15.0	5485.8017578125	4.866666793823242	82287.0234375	73.0
ilp27	8.0	6737.84375	13.75	53902.75	110.0
ilp28	8.0	11796.7626953125	1959.0	94374.1015625	15672.0
ilp29	2.0	4939.86328125	5.5	9879.7265625	11.0
ilp30	17.0	28291.462890625	27.0	480954.875	459.0
ilp31	7.0	13462.6455078125	135.85714721679688	94238.515625	951.0
ilp32	2.0	7354.30859375	4.5	14708.6171875	9.0
ilp33	5.0	11026.3359375	25.799999237060547	55131.6796875	129.0
ilp34	8.0	5828.6123046875	8.875	46628.8984375	71.0
ilp35	6.0	12494.0380859375	9.666666984558105	74964.2265625	58.0
ilp36	1.0	632.445068359375	4.0	632.445068359375	4.0
ilp39	5.0	2412.597412109375	16.399999618530273	12062.9873046875	82.0
ilp40	3.0	4731.86376953125	1270.0	14195.5908203125	3810.0
ilp42	1.0	5766.89453125	24.0	5766.89453125	24.0
ilp43	2.0	12244.9931640625	34.5	24489.986328125	69.0
ilp44	2.0	6918.11328125	10.0	13836.2265625	20.0
ilp45	3.0	18367.31640625	3908.333251953125	55101.94921875	11725.0
ilp46	3.0	8980.3056640625	8.666666984558105	26940.916015625	26.0
ilp47	3.0	5376.17626953125	11.666666984558105	16128.529296875	35.0
ilp48	9.0	6828.052734375	7.222222328186035	61452.4765625	65.0
ilp49	1.0	8100.583984375	9.0	8100.583984375	9.0
ilp50	5.0	11613.0361328125	22.799999237060547	58065.1796875	114.0
ilp51	2.0	4611.03173828125	10.0	9222.0634765625	20.0
ilp52	7.0	9311.671875	39.57143020629883	65181.703125	277.0
ilp53	8.0	19059.40625	12.25	152475.25	98.0
ilp55	3.0	11399.8046875	10.666666984558105	34199.4140625	32.0
ilp57	4.0	6647.099609375	66.5	26588.3984375	266.0
ilp58	2.0	6747.68359375	26.5	13495.3671875	53.0
ilp59	2.0	11155.490234375	5.5	22310.98046875	11.0
ilp60	4.0	17176.103515625	17.5	68704.4140625	70.0
ilp61	2.0	8423.3818359375	26.0	16846.763671875	52.0
ilp62	7.0	1742.5810546875	4.142857074737549	12198.0673828125	29.0
ilp63	1.0	2437.960205078125	10.0	2437.960205078125	10.0
ilp71	3.0	18276.013671875	45.66666793823242	54828.0390625	137.0
ilp72	1.0	1065.974365234375	6.0	1065.974365234375	6.0
ilp73	3.0	5992.93505859375	1278.6666259765625	17978.8046875	3836.0
ilp74	17.0	14101.484375	3385.588134765625	239725.234375	57555.0
ilp76	2.0	10288.46484375	103.5	20576.9296875	207.0
ilp77	1.0	19714.125	3922.0	19714.125	3922.0
ilp78	2.0	6486.455078125	20.0	12972.91015625	40.0
ilp79	6.0	8123.947265625	19.16666603088379	48743.68359375	115.0
ilp81	3.0	1727.8670654296875	7.666666507720947	5183.60107421875	23.0
ilp89	7.0	3185.955322265625	18.14285659790039	22301.6875	127.0
ilp90	1.0	280.0430908203125	3.0	280.0430908203125	3.0
ilp96	1.0	8442.0625	3955.0	8442.0625	3955.0
ilp97	2.0	5104.26123046875	23.0	10208.5224609375	46.0
ilp103	1.0	2639.93017578125	5.0	2639.93017578125	5.0
ilp104	2.0	5480.92626953125	6.5	10961.8525390625	13.0
ilp105	1.0	23189.8828125	6.0	23189.8828125	6.0
ilp121	2.0	17984.578125	17.5	35969.15625	35.0
ilp122	3.0	8575.8173828125	3912.0	25727.453125	11736.0
ilp126	1.0	11249.0634765625	176.0	11249.0634765625	176.0
ilp127	2.0	5634.99072265625	66.0	11269.9814453125	132.0
ilp140	8.0	14570.1162109375	3726.625	116560.9296875	29813.0
ilp155	4.0	5416.98291015625	8.5	21667.931640625	34.0
ilp159	4.0	7179.41552734375	21.75	28717.662109375	87.0
ilp160	2.0	816.4642333984375	4.5	1632.928466796875	9.0
ilp161	4.0	7037.84326171875	69.75	28151.373046875	279.0
ilp162	1.0	13401.626953125	21.0	13401.626953125	21.0
ilp163	20.0	22436.46484375	39.54999923706055	448729.3125	791.0
ilp164	2.0	6432.4970703125	8.5	12864.994140625	17.0
ilp166	3.0	29928.3515625	26.0	89785.0546875	78.0
ilp167	3.0	10309.4697265625	84.66666412353516	30928.41015625	254.0
ilp168	11.0	15929.53515625	18.0	175224.890625	198.0
ilp169	9.0	11607.908203125	31.11111068725586	104471.171875	280.0
ilp170	3.0	5861.00830078125	12.0	17583.025390625	36.0
ilp171	8.0	9550.19921875	26.375	76401.59375	211.0
ilp172	5.0	11052.7939453125	30.399999618530273	55263.96875	152.0
ilp173	1.0	15645.1953125	44.0	15645.1953125	44.0
ilp174	15.0	42645.9296875	62.599998474121094	639688.9375	939.0
ilp175	6.0	7232.74609375	54.66666793823242	43396.4765625	328.0
