Feature	weight	gain	cover	total_gain	total_cover
ilp1	29.0	944842.125	3.689655065536499	27400422.0	107.0
ilp2	1.0	559950.25	5.0	559950.25	5.0
ilp5	4.0	715983.125	12.75	2863932.5	51.0
ilp10	1.0	1941596.375	3926.0	1941596.375	3926.0
ilp14	21.0	1776541.375	12.095237731933594	37307368.0	254.0
ilp15	7.0	1081995.875	15.857142448425293	7573971.0	111.0
ilp18	1.0	835083.0625	11.0	835083.0625	11.0
ilp19	2.0	1730684.75	457.5	3461369.5	915.0
ilp20	14.0	1931596.75	17.14285659790039	27042354.0	240.0
ilp21	23.0	1259598.125	7.130434989929199	28970758.0	164.0
ilp22	3.0	884717.6875	4.0	2654153.0	12.0
ilp23	12.0	1471434.125	14.166666984558105	17657210.0	170.0
ilp24	19.0	3295213.5	9.210526466369629	62609056.0	175.0
ilp25	2.0	4836502.0	185.5	9673004.0	371.0
ilp26	7.0	2933235.5	5.285714149475098	20532648.0	37.0
ilp27	8.0	1451060.5	61.625	11608484.0	493.0
ilp28	8.0	895519.75	6.875	7164158.0	55.0
ilp29	2.0	730653.125	14.5	1461306.25	29.0
ilp30	10.0	2030123.625	5.5	20301236.0	55.0
ilp31	5.0	2212734.75	8.0	11063674.0	40.0
ilp32	2.0	848808.4375	13.5	1697616.875	27.0
ilp33	7.0	1429070.25	11.571428298950195	10003492.0	81.0
ilp34	2.0	1733868.25	1945.5	3467736.5	3891.0
ilp35	21.0	4013233.25	22.428571701049805	84277896.0	471.0
ilp36	1.0	1747101.0	9.0	1747101.0	9.0
ilp37	2.0	5413248.0	3950.5	10826496.0	7901.0
ilp38	2.0	3457957.75	1998.0	6915915.5	3996.0
ilp39	6.0	2181154.0	20.0	13086924.0	120.0
ilp40	2.0	881860.5	132.0	1763721.0	264.0
ilp42	1.0	1566270.0	7.0	1566270.0	7.0
ilp43	7.0	3852824.5	496.1428527832031	26969772.0	3473.0
ilp44	1.0	1732112.0	33.0	1732112.0	33.0
ilp46	8.0	3281173.0	11.0	26249384.0	88.0
ilp47	2.0	2481845.5	23.0	4963691.0	46.0
ilp48	5.0	1579734.25	9.199999809265137	7898671.0	46.0
ilp49	8.0	959188.9375	22.625	7673511.5	181.0
ilp50	9.0	1503072.875	10.88888931274414	13527656.0	98.0
ilp51	7.0	3065228.25	615.2857055664062	21456598.0	4307.0
