Feature	weight	gain	cover	total_gain	total_cover
ilp1	5.0	327.60150146484375	3.4000000953674316	1638.007568359375	17.0
ilp5	5.0	327.4129333496094	4.0	1637.064697265625	20.0
ilp14	16.0	959.556396484375	12.8125	15352.90234375	205.0
ilp15	9.0	778.6506958007812	9.0	7007.8564453125	81.0
ilp20	16.0	612.4672241210938	7.1875	9799.4755859375	115.0
ilp21	11.0	925.1029052734375	5.636363506317139	10176.1318359375	62.0
ilp22	5.0	1449.2607421875	10.0	7246.3037109375	50.0
ilp23	20.0	1320.90478515625	8.800000190734863	26418.095703125	176.0
ilp24	10.0	711.1781005859375	10.0	7111.78125	100.0
ilp25	1.0	1704.382568359375	41.0	1704.382568359375	41.0
ilp26	17.0	790.54052734375	12.764705657958984	13439.189453125	217.0
ilp27	7.0	1880.1376953125	17.14285659790039	13160.9638671875	120.0
ilp28	7.0	1043.9815673828125	17.428571701049805	7307.87109375	122.0
ilp29	11.0	645.1530151367188	7.2727274894714355	7096.68310546875	80.0
ilp30	11.0	944.1161499023438	9.363636016845703	10385.27734375	103.0
ilp31	4.0	1544.30078125	11.25	6177.203125	45.0
ilp32	15.0	1852.0726318359375	5.4666666984558105	27781.08984375	82.0
ilp33	4.0	103.7313232421875	5.25	414.92529296875	21.0
ilp34	8.0	2073.44677734375	19.625	16587.57421875	157.0
ilp35	7.0	1160.417724609375	9.285714149475098	8122.92431640625	65.0
ilp36	6.0	2891.428466796875	3528.166748046875	17348.5703125	21169.0
ilp39	5.0	1298.5963134765625	12.800000190734863	6492.9814453125	64.0
ilp40	4.0	143.55978393554688	7.75	574.2391357421875	31.0
ilp42	12.0	2504.596923828125	14.166666984558105	30055.162109375	170.0
ilp43	13.0	2919.711181640625	12.538461685180664	37956.24609375	163.0
ilp44	7.0	2000.1466064453125	17.571428298950195	14001.0263671875	123.0
ilp47	5.0	2766.26513671875	8.800000190734863	13831.3251953125	44.0
ilp48	9.0	739.2245483398438	9.0	6653.02099609375	81.0
ilp50	5.0	613.6004028320312	15.199999809265137	3068.001953125	76.0
ilp51	3.0	999.986328125	22.0	2999.958984375	66.0
ilp52	5.0	878.7521362304688	11.600000381469727	4393.7607421875	58.0
ilp53	4.0	848.9768676757812	15.0	3395.907470703125	60.0
ilp54	3.0	1398.3116455078125	20.66666603088379	4194.93505859375	62.0
ilp57	1.0	1153.845703125	12.0	1153.845703125	12.0
ilp58	1.0	917.1328125	10.0	917.1328125	10.0
ilp59	2.0	1176.6907958984375	11.5	2353.381591796875	23.0
ilp60	12.0	1916.3759765625	43.25	22996.51171875	519.0
ilp61	2.0	966.2128295898438	8.0	1932.4256591796875	16.0
ilp62	2.0	644.9501953125	9.5	1289.900390625	19.0
ilp63	1.0	351.5743408203125	6.0	351.5743408203125	6.0
ilp66	2.0	1264.814453125	29.0	2529.62890625	58.0
ilp67	2.0	1658.39892578125	24.5	3316.7978515625	49.0
ilp70	4.0	1143.761962890625	21.5	4575.0478515625	86.0
ilp73	1.0	623.243896484375	15.0	623.243896484375	15.0
ilp79	1.0	91.82164001464844	4.0	91.82164001464844	4.0
ilp89	13.0	1149.5555419921875	38.07692337036133	14944.22265625	495.0
ilp90	9.0	2288.02392578125	16.77777862548828	20592.21484375	151.0
ilp91	3.0	722.2119140625	24.0	2166.6357421875	72.0
ilp102	2.0	1906.2813720703125	1990.0	3812.562744140625	3980.0
ilp117	1.0	1013.9639892578125	54.0	1013.9639892578125	54.0
ilp136	2.0	3496.16015625	3701.5	6992.3203125	7403.0
ilp143	1.0	1315.43603515625	3774.0	1315.43603515625	3774.0
ilp159	2.0	1414.3447265625	22.0	2828.689453125	44.0
ilp160	5.0	1809.92578125	18.399999618530273	9049.62890625	92.0
ilp161	11.0	1156.624755859375	32.45454406738281	12722.8720703125	357.0
ilp162	1.0	1042.696044921875	135.0	1042.696044921875	135.0
ilp163	6.0	2756.5078125	18.33333396911621	16539.046875	110.0
ilp164	4.0	539.1453247070312	14.5	2156.581298828125	58.0
ilp165	3.0	1019.925048828125	1355.0	3059.775146484375	4065.0
ilp166	5.0	95.05020141601562	5.0	475.2510070800781	25.0
ilp168	6.0	833.0359497070312	7.833333492279053	4998.2158203125	47.0
ilp169	13.0	1071.2452392578125	38.92307662963867	13926.1875	506.0
ilp170	5.0	2009.056640625	54.0	10045.283203125	270.0
ilp171	6.0	1332.6121826171875	14.666666984558105	7995.6728515625	88.0
ilp173	5.0	2435.194091796875	49.79999923706055	12175.970703125	249.0
ilp174	7.0	3979.841064453125	68.71428680419922	27858.88671875	481.0
ilp175	6.0	1165.2618408203125	10.666666984558105	6991.5712890625	64.0
ilp176	4.0	495.57525634765625	15.75	1982.301025390625	63.0
ilp177	5.0	655.9073486328125	773.0	3279.536865234375	3865.0
ilp178	1.0	2050.037353515625	19.0	2050.037353515625	19.0
ilp180	3.0	1324.1566162109375	121.66666412353516	3972.469970703125	365.0
ilp181	4.0	2141.971923828125	45.25	8567.8876953125	181.0
ilp183	1.0	3505.640625	36.0	3505.640625	36.0
ilp184	2.0	511.68267822265625	13.0	1023.3653564453125	26.0
ilp185	3.0	735.1681518554688	23.66666603088379	2205.50439453125	71.0
ilp187	5.0	2366.028564453125	345.3999938964844	11830.142578125	1727.0
ilp188	5.0	1092.07080078125	18.600000381469727	5460.35400390625	93.0
ilp189	3.0	3435.5556640625	52.66666793823242	10306.6669921875	158.0
ilp190	2.0	703.0159912109375	29.0	1406.031982421875	58.0
ilp191	5.0	474.8058166503906	9.199999809265137	2374.029052734375	46.0
ilp193	3.0	1724.8743896484375	27.66666603088379	5174.623046875	83.0
ilp194	2.0	444.55517578125	11.0	889.1103515625	22.0
ilp195	1.0	5222.0546875	325.0	5222.0546875	325.0
ilp196	4.0	1764.9444580078125	10.5	7059.77783203125	42.0
ilp197	1.0	577.703125	7.0	577.703125	7.0
ilp198	4.0	1404.9334716796875	27.25	5619.73388671875	109.0
ilp200	1.0	3371.91162109375	53.0	3371.91162109375	53.0
ilp203	4.0	2214.653076171875	246.75	8858.6123046875	987.0
ilp204	2.0	464.7410888671875	23.0	929.482177734375	46.0
ilp209	4.0	4754.04736328125	60.0	19016.189453125	240.0
ilp212	22.0	2043.2542724609375	3044.227294921875	44951.59375	66973.0
ilp216	2.0	2164.55517578125	2000.0	4329.1103515625	4000.0
ilp218	8.0	2450.455810546875	118.375	19603.646484375	947.0
ilp224	4.0	923.9556884765625	20.5	3695.82275390625	82.0
ilp227	6.0	1138.202880859375	116.33333587646484	6829.21728515625	698.0
ilp228	1.0	2060.22900390625	95.0	2060.22900390625	95.0
ilp230	1.0	91.347900390625	12.0	91.347900390625	12.0
ilp231	1.0	1444.517578125	10.0	1444.517578125	10.0
ilp233	14.0	8355.041015625	15.428571701049805	116970.5703125	216.0
ilp240	1.0	356.79132080078125	11.0	356.79132080078125	11.0
ilp241	5.0	2199.716552734375	48.20000076293945	10998.5830078125	241.0
ilp242	1.0	723.328125	9.0	723.328125	9.0
ilp248	12.0	1729.82080078125	3297.75	20757.849609375	39573.0
ilp252	1.0	1357.28369140625	46.0	1357.28369140625	46.0
ilp253	3.0	1523.0130615234375	49.33333206176758	4569.0390625	148.0
ilp254	2.0	1340.16650390625	31.0	2680.3330078125	62.0
ilp255	5.0	3620.810546875	1621.4000244140625	18104.052734375	8107.0
ilp256	3.0	1329.4913330078125	14.666666984558105	3988.47412109375	44.0
ilp259	5.0	2899.766845703125	62.599998474121094	14498.833984375	313.0
