Feature	weight	gain	cover	total_gain	total_cover
ilp1	40.0	78827.390625	4.349999904632568	3153095.75	174.0
ilp5	3.0	4218.48974609375	6.666666507720947	12655.46875	20.0
ilp14	25.0	200584.28125	7.559999942779541	5014607.0	189.0
ilp15	20.0	683284.25	36.849998474121094	13665685.0	737.0
ilp20	30.0	637249.75	20.566667556762695	19117492.0	617.0
ilp21	13.0	166230.359375	1180.6922607421875	2160994.75	15349.0
ilp22	5.0	126695.8515625	12.800000190734863	633479.25	64.0
ilp23	7.0	80645.1640625	4.5714287757873535	564516.125	32.0
ilp24	20.0	215639.828125	7.400000095367432	4312796.5	148.0
ilp25	6.0	536470.5	15.666666984558105	3218823.0	94.0
ilp26	9.0	180469.09375	6.222222328186035	1624221.875	56.0
ilp27	30.0	327113.09375	23.03333282470703	9813393.0	691.0
ilp28	6.0	217255.75	15.0	1303534.5	90.0
ilp29	11.0	274476.625	1013.0908813476562	3019243.0	11144.0
ilp30	7.0	69255.828125	5.0	484790.8125	35.0
ilp31	12.0	185681.6875	7.916666507720947	2228180.25	95.0
ilp32	6.0	121955.5859375	6.166666507720947	731733.5	37.0
ilp33	4.0	155651.28125	5.25	622605.125	21.0
ilp34	3.0	73840.3828125	6.666666507720947	221521.15625	20.0
ilp35	21.0	241875.46875	2245.47607421875	5079385.0	47155.0
ilp36	4.0	165067.34375	8.75	660269.375	35.0
ilp38	2.0	230110.0	6.0	460220.0	12.0
ilp39	1.0	137252.71875	7.0	137252.71875	7.0
ilp40	9.0	296223.0	15.333333015441895	2666007.0	138.0
ilp42	1.0	205832.46875	16.0	205832.46875	16.0
ilp43	1.0	56700.46875	17.0	56700.46875	17.0
ilp44	2.0	218616.75	89.5	437233.5	179.0
ilp46	6.0	131439.59375	7.166666507720947	788637.5625	43.0
ilp47	7.0	265610.40625	716.4285888671875	1859272.75	5015.0
ilp48	2.0	21543.73828125	5.5	43087.4765625	11.0
ilp49	8.0	104653.5078125	17.125	837228.0625	137.0
ilp50	11.0	266291.46875	367.3636474609375	2929206.25	4041.0
ilp51	7.0	161397.71875	2819.142822265625	1129784.0	19734.0
ilp52	1.0	153020.703125	26.0	153020.703125	26.0
ilp53	10.0	575424.625	3135.199951171875	5754246.5	31352.0
ilp54	2.0	89875.1015625	17.0	179750.203125	34.0
ilp55	7.0	100904.8203125	11.0	706333.75	77.0
ilp56	7.0	215035.171875	2179.142822265625	1505246.25	15254.0
ilp57	16.0	219872.0625	500.4375	3517953.0	8007.0
ilp58	8.0	430272.1875	20.625	3442177.5	165.0
ilp59	7.0	498776.3125	27.714284896850586	3491434.25	194.0
ilp60	2.0	424668.1875	6.5	849336.375	13.0
ilp61	2.0	16112.24609375	8.5	32224.4921875	17.0
ilp62	1.0	351543.75	22.0	351543.75	22.0
ilp63	9.0	169714.203125	18.77777862548828	1527427.875	169.0
ilp66	1.0	297322.875	43.0	297322.875	43.0
ilp67	1.0	1453448.25	7.0	1453448.25	7.0
ilp70	2.0	315473.0	7.0	630946.0	14.0
ilp71	3.0	308538.53125	26.33333396911621	925615.625	79.0
ilp73	2.0	102103.890625	8.5	204207.78125	17.0
ilp75	1.0	156595.71875	54.0	156595.71875	54.0
ilp76	15.0	319595.9375	3891.533447265625	4793939.0	58373.0
ilp78	7.0	732775.5	14.0	5129428.5	98.0
ilp81	1.0	48271.640625	6.0	48271.640625	6.0
ilp89	9.0	156330.734375	17.44444465637207	1406976.625	157.0
ilp90	1.0	367206.8125	24.0	367206.8125	24.0
ilp92	1.0	354939.0	291.0	354939.0	291.0
ilp93	1.0	314862.46875	105.0	314862.46875	105.0
ilp94	3.0	694340.0	12.0	2083020.0	36.0
ilp100	1.0	164479.46875	3971.0	164479.46875	3971.0
ilp103	2.0	84555.1953125	16.0	169110.390625	32.0
ilp110	6.0	196692.3125	98.33333587646484	1180153.875	590.0
ilp113	1.0	225269.0	3852.0	225269.0	3852.0
ilp117	1.0	185276.15625	3954.0	185276.15625	3954.0
ilp123	1.0	363438.75	32.0	363438.75	32.0
ilp126	1.0	214395.5	3711.0	214395.5	3711.0
ilp137	2.0	385664.125	78.5	771328.25	157.0
ilp138	6.0	375126.65625	3844.833251953125	2250760.0	23069.0
ilp140	2.0	227655.609375	413.0	455311.21875	826.0
ilp142	9.0	282299.46875	3887.77783203125	2540695.25	34990.0
ilp159	1.0	369237.75	704.0	369237.75	704.0
ilp160	14.0	957807.5	13.142857551574707	13409305.0	184.0
ilp161	12.0	248987.046875	24.5	2987844.5	294.0
ilp162	4.0	115316.015625	1950.75	461264.0625	7803.0
ilp163	6.0	214917.109375	31.16666603088379	1289502.625	187.0
ilp164	1.0	83675.390625	9.0	83675.390625	9.0
ilp165	1.0	513208.25	34.0	513208.25	34.0
ilp166	6.0	257683.953125	36.33333206176758	1546103.75	218.0
ilp167	6.0	420356.75	37.5	2522140.5	225.0
ilp168	10.0	157341.171875	93.9000015258789	1573411.75	939.0
ilp169	9.0	400841.4375	50.77777862548828	3607573.0	457.0
ilp170	4.0	52580.26171875	6.75	210321.046875	27.0
ilp171	19.0	623081.375	18.526315689086914	11838546.0	352.0
ilp172	3.0	285026.71875	70.66666412353516	855080.125	212.0
ilp173	4.0	157431.21875	71.0	629724.875	284.0
ilp174	2.0	420130.625	23.5	840261.25	47.0
ilp175	3.0	418840.90625	101.33333587646484	1256522.75	304.0
ilp176	1.0	170944.328125	18.0	170944.328125	18.0
ilp177	9.0	354701.8125	34.88888931274414	3192316.25	314.0
ilp178	1.0	273368.6875	104.0	273368.6875	104.0
