Feature	weight	gain	cover	total_gain	total_cover
ilp1	10.0	2350119.25	3.799999952316284	23501192.0	38.0
ilp4	2.0	4394892.5	12.5	8789785.0	25.0
ilp5	2.0	783605.0	3.5	1567210.0	7.0
ilp14	3.0	3571448.0	34.66666793823242	10714344.0	104.0
ilp15	12.0	4163107.25	5.25	49957288.0	63.0
ilp20	13.0	5266732.5	6.692307472229004	68467520.0	87.0
ilp21	9.0	3207293.0	12.0	28865636.0	108.0
ilp22	2.0	1540688.75	6.0	3081377.5	12.0
ilp23	9.0	1192579.5	6.777777671813965	10733216.0	61.0
ilp24	4.0	3690452.0	6.25	14761808.0	25.0
ilp25	2.0	1726632.5	10.0	3453265.0	20.0
ilp26	7.0	4733289.0	5.857142925262451	33133022.0	41.0
ilp27	4.0	4141046.75	7.25	16564187.0	29.0
ilp28	20.0	9834288.0	53.45000076293945	196685760.0	1069.0
ilp29	1.0	2226230.25	4.0	2226230.25	4.0
ilp30	41.0	8978810.0	16.707317352294922	368131200.0	685.0
ilp31	5.0	2783804.5	7.0	13919022.0	35.0
ilp32	6.0	3958038.0	12.5	23748228.0	75.0
ilp33	7.0	5633417.0	11.714285850524902	39433920.0	82.0
ilp34	4.0	3045915.0	8.0	12183660.0	32.0
ilp35	3.0	7307050.0	18.33333396911621	21921150.0	55.0
ilp36	3.0	8417420.0	59.33333206176758	25252260.0	178.0
ilp39	8.0	5560469.5	10.375	44483756.0	83.0
ilp40	8.0	8395794.0	2076.875	67166352.0	16615.0
ilp42	1.0	6091501.0	63.0	6091501.0	63.0
ilp43	1.0	2096145.5	26.0	2096145.5	26.0
ilp44	2.0	21177808.0	16.0	42355616.0	32.0
ilp46	13.0	15975748.0	30.846153259277344	207684720.0	401.0
ilp47	2.0	1221759.0	6.5	2443518.0	13.0
ilp48	1.0	3209222.0	6.0	3209222.0	6.0
ilp49	4.0	5649002.0	28.75	22596008.0	115.0
ilp50	13.0	6718958.0	10.384614944458008	87346456.0	135.0
ilp51	9.0	24055686.0	54.0	216501168.0	486.0
ilp52	7.0	7633508.0	27.285715103149414	53434556.0	191.0
ilp53	2.0	6547496.0	15.5	13094992.0	31.0
ilp54	2.0	542230.375	7.5	1084460.75	15.0
ilp55	3.0	5822689.5	11.666666984558105	17468068.0	35.0
ilp56	4.0	6582589.5	271.75	26330358.0	1087.0
ilp57	11.0	10561466.0	25.090909957885742	116176128.0	276.0
ilp58	2.0	1105829.75	8.5	2211659.5	17.0
ilp59	4.0	7262233.0	11.5	29048932.0	46.0
ilp60	2.0	3191732.0	16.5	6383464.0	33.0
ilp61	3.0	10157963.0	64.33333587646484	30473888.0	193.0
ilp62	9.0	4317316.5	19.22222137451172	38855848.0	173.0
ilp63	1.0	12105248.0	23.0	12105248.0	23.0
ilp66	3.0	13599480.0	22.0	40798440.0	66.0
ilp67	6.0	8479847.0	685.3333129882812	50879084.0	4112.0
ilp71	4.0	6328580.0	76.0	25314320.0	304.0
ilp72	8.0	6724702.5	29.0	53797620.0	232.0
ilp75	11.0	11983958.0	3119.727294921875	131823536.0	34317.0
ilp76	3.0	7357692.0	51.0	22073076.0	153.0
ilp78	5.0	16502195.0	3880.199951171875	82510976.0	19401.0
ilp79	1.0	3858656.0	11.0	3858656.0	11.0
ilp87	1.0	4696837.5	23.0	4696837.5	23.0
ilp89	6.0	8282491.5	60.0	49694948.0	360.0
ilp90	5.0	8065071.0	22.600000381469727	40325356.0	113.0
ilp91	1.0	2485490.25	20.0	2485490.25	20.0
ilp93	1.0	4961962.0	26.0	4961962.0	26.0
ilp101	1.0	5321841.0	22.0	5321841.0	22.0
ilp105	2.0	11374850.0	15.0	22749700.0	30.0
ilp109	1.0	37359976.0	39.0	37359976.0	39.0
ilp112	1.0	25122104.0	254.0	25122104.0	254.0
ilp115	2.0	7365306.0	3948.0	14730612.0	7896.0
ilp117	1.0	9116610.0	10.0	9116610.0	10.0
ilp121	1.0	9003582.0	77.0	9003582.0	77.0
ilp126	6.0	12385025.0	665.8333129882812	74310152.0	3995.0
ilp128	1.0	5627750.5	3939.0	5627750.5	3939.0
ilp132	2.0	15354158.0	119.5	30708316.0	239.0
ilp133	4.0	12773088.0	3883.5	51092352.0	15534.0
ilp137	1.0	9668552.0	1740.0	9668552.0	1740.0
ilp140	24.0	49172736.0	3931.333251953125	1180145664.0	94352.0
ilp141	1.0	15876608.0	3810.0	15876608.0	3810.0
ilp144	16.0	15466779.0	3909.6875	247468464.0	62555.0
ilp161	14.0	5537360.5	1007.5714111328125	77523048.0	14106.0
ilp162	5.0	5299366.5	148.0	26496832.0	740.0
ilp163	26.0	14722443.0	1107.3846435546875	382783520.0	28792.0
ilp164	3.0	13421148.0	196.6666717529297	40263444.0	590.0
ilp165	5.0	16140741.0	269.79998779296875	80703704.0	1349.0
ilp166	2.0	5569604.0	44.0	11139208.0	88.0
ilp167	10.0	8782849.0	3328.800048828125	87828488.0	33288.0
ilp168	4.0	8028389.0	36.75	32113556.0	147.0
ilp169	9.0	4767684.5	18.0	42909160.0	162.0
ilp170	3.0	13494669.0	550.3333129882812	40484008.0	1651.0
ilp171	6.0	13929037.0	16.16666603088379	83574224.0	97.0
ilp172	7.0	4602349.5	25.714284896850586	32216446.0	180.0
ilp173	8.0	7654642.5	714.625	61237140.0	5717.0
ilp175	1.0	13732032.0	54.0	13732032.0	54.0
ilp176	6.0	14154180.0	20.16666603088379	84925080.0	121.0
ilp177	2.0	6156898.0	45.5	12313796.0	91.0
ilp178	5.0	9328588.0	917.4000244140625	46642940.0	4587.0
ilp180	4.0	4539860.0	28.25	18159440.0	113.0
ilp181	8.0	15431902.0	19.875	123455216.0	159.0
ilp182	3.0	10640671.0	345.0	31922012.0	1035.0
ilp183	4.0	4514807.0	8.5	18059228.0	34.0
ilp184	4.0	15316096.0	80.0	61264384.0	320.0
ilp185	3.0	3663903.0	21.33333396911621	10991709.0	64.0
ilp187	3.0	4991159.5	28.0	14973479.0	84.0
ilp188	4.0	6764515.0	997.25	27058060.0	3989.0
ilp190	2.0	4407774.0	28.0	8815548.0	56.0
ilp191	8.0	5943460.0	22.75	47547680.0	182.0
ilp193	5.0	8903834.0	21.200000762939453	44519172.0	106.0
ilp194	1.0	4071079.0	6.0	4071079.0	6.0
ilp195	3.0	6667848.0	38.66666793823242	20003544.0	116.0
ilp196	15.0	18997716.0	50.86666488647461	284965728.0	763.0
ilp198	2.0	10960945.0	204.5	21921890.0	409.0
ilp200	5.0	11422247.0	13.600000381469727	57111236.0	68.0
ilp203	2.0	12124581.0	39.0	24249162.0	78.0
ilp204	4.0	12368198.0	59.5	49472792.0	238.0
ilp206	1.0	2866177.0	19.0	2866177.0	19.0
ilp209	4.0	12412960.0	25.75	49651840.0	103.0
ilp216	1.0	10939835.0	2523.0	10939835.0	2523.0
ilp218	4.0	6739531.0	67.5	26958124.0	270.0
ilp219	1.0	2927718.75	46.0	2927718.75	46.0
ilp224	2.0	8748764.0	21.0	17497528.0	42.0
ilp225	2.0	8149194.5	3170.0	16298389.0	6340.0
ilp227	11.0	6566846.0	1124.1817626953125	72235304.0	12366.0
ilp228	2.0	3363715.0	19.5	6727430.0	39.0
ilp230	8.0	9087534.0	2965.625	72700272.0	23725.0
ilp232	1.0	6417531.5	3931.0	6417531.5	3931.0
ilp233	4.0	2727858.25	32.0	10911433.0	128.0
ilp240	4.0	15166256.0	24.25	60665024.0	97.0
ilp241	2.0	2534253.0	10.5	5068506.0	21.0
ilp243	1.0	3817665.0	81.0	3817665.0	81.0
ilp246	1.0	1385384.75	10.0	1385384.75	10.0
ilp248	24.0	11760836.0	68.20833587646484	282260064.0	1637.0
ilp249	3.0	12091401.0	143.0	36274204.0	429.0
ilp250	3.0	6849101.5	27.66666603088379	20547304.0	83.0
ilp253	3.0	5451029.5	13.333333015441895	16353089.0	40.0
ilp256	1.0	8992565.0	140.0	8992565.0	140.0
ilp266	5.0	10644214.0	69.80000305175781	53221068.0	349.0
ilp271	3.0	16548232.0	57.33333206176758	49644696.0	172.0
ilp277	2.0	11284720.0	12.0	22569440.0	24.0
ilp280	1.0	9991916.0	1884.0	9991916.0	1884.0
ilp281	3.0	13467845.0	45.66666793823242	40403536.0	137.0
ilp283	2.0	11566352.0	16.5	23132704.0	33.0
ilp287	8.0	9924300.0	3658.625	79394400.0	29269.0
ilp295	7.0	8812610.0	3667.142822265625	61688268.0	25670.0
ilp310	1.0	2928055.75	11.0	2928055.75	11.0
ilp322	1.0	4987414.0	56.0	4987414.0	56.0
ilp323	2.0	23830968.0	1754.0	47661936.0	3508.0
ilp326	1.0	5329741.0	37.0	5329741.0	37.0
ilp327	1.0	5325643.0	3909.0	5325643.0	3909.0
ilp333	2.0	11669561.0	37.5	23339122.0	75.0
ilp334	1.0	9423601.0	3766.0	9423601.0	3766.0
ilp338	4.0	13486780.0	3748.0	53947120.0	14992.0
ilp345	19.0	39012232.0	3921.0	741232384.0	74499.0
ilp346	3.0	9102712.0	3867.666748046875	27308136.0	11603.0
ilp349	11.0	13191581.0	3851.363525390625	145107392.0	42365.0
ilp356	2.0	5403044.5	3902.0	10806089.0	7804.0
