Feature	weight	gain	cover	total_gain	total_cover
ilp1	8.0	307.1014404296875	3.375	2456.8115234375	27.0
ilp4	3.0	1516.03857421875	927.3333129882812	4548.11572265625	2782.0
ilp5	10.0	516.6525268554688	30.100000381469727	5166.525390625	301.0
ilp6	2.0	3769.511474609375	280.5	7539.02294921875	561.0
ilp14	10.0	1933.220458984375	6.699999809265137	19332.205078125	67.0
ilp15	15.0	683.8246459960938	5.266666889190674	10257.3701171875	79.0
ilp20	20.0	650.1690063476562	4.300000190734863	13003.3798828125	86.0
ilp21	13.0	891.248046875	4.461538314819336	11586.224609375	58.0
ilp22	2.0	421.7052917480469	7.0	843.4105834960938	14.0
ilp23	19.0	757.2271728515625	6.736842155456543	14387.31640625	128.0
ilp24	30.0	1838.869384765625	7.699999809265137	55166.08203125	231.0
ilp25	10.0	2996.827392578125	21.0	29968.2734375	210.0
ilp26	12.0	1073.3919677734375	5.666666507720947	12880.703125	68.0
ilp27	13.0	4850.962890625	127.76923370361328	63062.515625	1661.0
ilp28	11.0	1277.8087158203125	15.545454978942871	14055.896484375	171.0
ilp29	8.0	4199.298828125	45.625	33594.390625	365.0
ilp30	13.0	1529.6842041015625	8.84615421295166	19885.89453125	115.0
ilp31	10.0	1012.1383056640625	7.099999904632568	10121.3828125	71.0
ilp32	14.0	2941.349365234375	13.714285850524902	41178.890625	192.0
ilp33	12.0	1978.2220458984375	11.416666984558105	23738.6640625	137.0
ilp34	11.0	3809.7353515625	10.909090995788574	41907.08984375	120.0
ilp35	2.0	597.5882568359375	5.0	1195.176513671875	10.0
ilp36	6.0	793.1630859375	6.666666507720947	4758.978515625	40.0
ilp39	3.0	1573.33935546875	6.666666507720947	4720.01806640625	20.0
ilp40	9.0	2437.48046875	578.888916015625	21937.32421875	5210.0
ilp44	6.0	4719.50439453125	25.16666603088379	28317.02734375	151.0
ilp46	6.0	2921.958251953125	35.0	17531.75	210.0
ilp47	4.0	1455.8812255859375	57.5	5823.52490234375	230.0
ilp48	3.0	1183.8546142578125	12.333333015441895	3551.563720703125	37.0
ilp50	10.0	1252.9053955078125	9.899999618530273	12529.0537109375	99.0
ilp51	7.0	2128.7646484375	10.714285850524902	14901.3525390625	75.0
ilp52	5.0	1078.2166748046875	14.399999618530273	5391.08349609375	72.0
ilp53	2.0	2277.34375	6.0	4554.6875	12.0
ilp54	6.0	1503.3870849609375	9.166666984558105	9020.322265625	55.0
ilp55	5.0	1183.6568603515625	11.399999618530273	5918.2841796875	57.0
ilp56	3.0	3486.580322265625	1875.3333740234375	10459.7412109375	5626.0
ilp57	1.0	484.353759765625	5.0	484.353759765625	5.0
ilp60	3.0	1617.6109619140625	7.666666507720947	4852.8330078125	23.0
ilp61	6.0	1617.92724609375	22.66666603088379	9707.5634765625	136.0
ilp62	3.0	1854.1705322265625	24.0	5562.51171875	72.0
ilp63	3.0	4278.0615234375	12.0	12834.1845703125	36.0
ilp66	1.0	674.177734375	4.0	674.177734375	4.0
ilp67	1.0	2600.650390625	7.0	2600.650390625	7.0
ilp68	2.0	2609.582763671875	2768.5	5219.16552734375	5537.0
ilp70	2.0	2217.94580078125	7.5	4435.8916015625	15.0
ilp71	1.0	1349.0452880859375	23.0	1349.0452880859375	23.0
ilp73	1.0	2574.63818359375	39.0	2574.63818359375	39.0
ilp76	1.0	2257.09375	2671.0	2257.09375	2671.0
ilp77	1.0	438.6341857910156	18.0	438.6341857910156	18.0
ilp78	1.0	1680.6943359375	111.0	1680.6943359375	111.0
ilp79	4.0	2828.18212890625	70.5	11312.728515625	282.0
ilp87	1.0	614.466796875	3.0	614.466796875	3.0
ilp89	3.0	1736.4376220703125	927.3333129882812	5209.31298828125	2782.0
ilp90	6.0	1371.9771728515625	9.5	8231.86328125	57.0
ilp91	1.0	248.67315673828125	4.0	248.67315673828125	4.0
ilp93	11.0	3456.099365234375	2532.54541015625	38017.09375	27858.0
ilp96	1.0	2703.350341796875	25.0	2703.350341796875	25.0
ilp100	1.0	3619.81591796875	42.0	3619.81591796875	42.0
ilp101	4.0	3078.981201171875	2054.5	12315.9248046875	8218.0
ilp103	1.0	2385.41845703125	18.0	2385.41845703125	18.0
ilp105	3.0	1573.6097412109375	21.0	4720.8291015625	63.0
ilp112	1.0	1739.028076171875	17.0	1739.028076171875	17.0
ilp115	1.0	2431.63037109375	2766.0	2431.63037109375	2766.0
ilp116	4.0	1738.103759765625	12.5	6952.4150390625	50.0
ilp117	2.0	5063.1337890625	54.0	10126.267578125	108.0
ilp140	1.0	5630.623046875	515.0	5630.623046875	515.0
ilp155	10.0	3272.05712890625	2722.300048828125	32720.5703125	27223.0
