Feature	weight	gain	cover	total_gain	total_cover
ilp1	30.0	449703.9375	3.9000000953674316	13491118.0	117.0
ilp4	1.0	238985.375	4.0	238985.375	4.0
ilp14	17.0	278797.03125	11.176470756530762	4739549.5	190.0
ilp15	11.0	176972.203125	7.909090995788574	1946694.25	87.0
ilp20	24.0	552453.1875	5.75	13258877.0	138.0
ilp21	5.0	572553.125	6.599999904632568	2862765.75	33.0
ilp22	7.0	347802.03125	28.714284896850586	2434614.25	201.0
ilp23	9.0	177515.09375	8.333333015441895	1597635.875	75.0
ilp24	21.0	467438.9375	17.047618865966797	9816218.0	358.0
ilp25	1.0	356197.125	24.0	356197.125	24.0
ilp26	8.0	247783.0625	7.125	1982264.5	57.0
ilp27	5.0	626779.8125	131.8000030517578	3133899.0	659.0
ilp28	8.0	402526.78125	14.0	3220214.25	112.0
ilp29	4.0	810974.9375	28.75	3243899.75	115.0
ilp30	8.0	433165.8125	12.25	3465326.5	98.0
ilp31	7.0	531262.8125	14.0	3718839.75	98.0
ilp32	7.0	120625.0234375	7.142857074737549	844375.1875	50.0
ilp33	6.0	972780.1875	13.666666984558105	5836681.0	82.0
ilp34	8.0	1320197.0	27.375	10561576.0	219.0
ilp35	6.0	379403.5	31.0	2276421.0	186.0
ilp36	1.0	384526.5625	35.0	384526.5625	35.0
ilp38	2.0	519943.59375	50.0	1039887.1875	100.0
ilp39	2.0	1090719.125	5.0	2181438.25	10.0
ilp40	2.0	149684.3125	12.5	299368.625	25.0
ilp41	3.0	784486.0	48.33333206176758	2353458.0	145.0
ilp43	4.0	562430.875	15.25	2249723.5	61.0
ilp44	4.0	459902.03125	16.5	1839608.125	66.0
ilp46	4.0	564186.9375	21.0	2256747.75	84.0
ilp47	5.0	74111.828125	7.400000095367432	370559.15625	37.0
ilp48	9.0	722464.875	6.44444465637207	6502184.0	58.0
ilp49	6.0	477761.5	23.5	2866569.0	141.0
ilp50	11.0	411683.09375	7.181818008422852	4528514.0	79.0
ilp51	6.0	904644.4375	12.666666984558105	5427866.5	76.0
ilp52	9.0	1008169.0	10.222222328186035	9073521.0	92.0
ilp53	5.0	620902.875	11.0	3104514.5	55.0
ilp54	1.0	123967.625	8.0	123967.625	8.0
ilp55	5.0	133232.53125	8.800000190734863	666162.625	44.0
ilp57	7.0	561122.0625	16.285715103149414	3927854.5	114.0
ilp58	5.0	267554.4375	6.0	1337772.25	30.0
ilp59	8.0	957356.75	15.0	7658854.0	120.0
ilp61	12.0	744116.0	38.25	8929392.0	459.0
ilp62	7.0	522349.5	26.428571701049805	3656446.5	185.0
ilp63	4.0	427900.65625	8.0	1711602.625	32.0
ilp66	3.0	340322.09375	13.0	1020966.25	39.0
ilp67	1.0	583899.125	20.0	583899.125	20.0
ilp70	1.0	5010593.0	5.0	5010593.0	5.0
ilp71	2.0	1471791.5	24.5	2943583.0	49.0
ilp72	3.0	665636.6875	24.66666603088379	1996910.125	74.0
ilp73	2.0	565184.8125	36.5	1130369.625	73.0
ilp74	6.0	1772176.0	3931.5	10633056.0	23589.0
ilp78	2.0	391452.5625	1939.5	782905.125	3879.0
ilp79	2.0	237831.53125	29.0	475663.0625	58.0
ilp89	1.0	110648.0	6.0	110648.0	6.0
ilp90	1.0	223875.125	8.0	223875.125	8.0
ilp91	1.0	616525.5	19.0	616525.5	19.0
ilp103	1.0	589348.25	58.0	589348.25	58.0
ilp104	1.0	1970876.0	48.0	1970876.0	48.0
ilp107	1.0	1069755.0	105.0	1069755.0	105.0
ilp115	1.0	2174176.0	147.0	2174176.0	147.0
ilp116	1.0	984249.25	11.0	984249.25	11.0
ilp121	1.0	276934.5	5.0	276934.5	5.0
ilp123	1.0	884982.875	3898.0	884982.875	3898.0
ilp129	1.0	563588.75	7.0	563588.75	7.0
ilp138	2.0	805350.3125	25.0	1610700.625	50.0
ilp140	15.0	1855711.75	3918.333251953125	27835676.0	58775.0
ilp144	5.0	995837.8125	3876.199951171875	4979189.0	19381.0
ilp159	5.0	432963.40625	19.600000381469727	2164817.0	98.0
ilp160	9.0	462399.9375	12.0	4161599.5	108.0
ilp161	3.0	562774.6875	17.66666603088379	1688324.0	53.0
ilp162	3.0	764450.1875	20.0	2293350.5	60.0
ilp164	2.0	158582.875	14.5	317165.75	29.0
ilp165	4.0	1151866.625	22.0	4607466.5	88.0
ilp166	3.0	2458835.25	9.0	7376505.5	27.0
ilp167	5.0	738890.4375	18.600000381469727	3694452.25	93.0
ilp168	5.0	644685.375	18.399999618530273	3223427.0	92.0
ilp169	6.0	444987.46875	22.5	2669924.75	135.0
ilp170	4.0	1585370.875	15.5	6341483.5	62.0
ilp171	18.0	3331704.5	11.44444465637207	59970680.0	206.0
ilp172	3.0	2521084.75	16.66666603088379	7563254.0	50.0
ilp173	3.0	374085.40625	20.66666603088379	1122256.25	62.0
ilp174	2.0	643677.875	34.0	1287355.75	68.0
ilp175	6.0	436944.65625	10.333333015441895	2621668.0	62.0
ilp176	2.0	167607.3125	4.0	335214.625	8.0
ilp177	3.0	357865.71875	10.333333015441895	1073597.125	31.0
ilp178	5.0	453708.6875	35.79999923706055	2268543.5	179.0
ilp180	1.0	577569.125	38.0	577569.125	38.0
ilp181	1.0	1175457.125	19.0	1175457.125	19.0
ilp182	2.0	825124.25	45.0	1650248.5	90.0
ilp183	2.0	626688.5	12.0	1253377.0	24.0
ilp185	3.0	1038279.3125	16.33333396911621	3114838.0	49.0
