Feature	weight	gain	cover	total_gain	total_cover
ilp1	26.0	1338.3634033203125	3.076923131942749	34797.44921875	80.0
ilp5	6.0	1577.2962646484375	6.5	9463.77734375	39.0
ilp14	14.0	6160.34326171875	14.0	86244.8046875	196.0
ilp15	10.0	7790.6162109375	15.399999618530273	77906.1640625	154.0
ilp20	26.0	3502.862060546875	17.653846740722656	91074.4140625	459.0
ilp21	6.0	3180.917236328125	5.666666507720947	19085.50390625	34.0
ilp22	10.0	1194.0635986328125	9.800000190734863	11940.6357421875	98.0
ilp23	9.0	3821.916748046875	1722.22216796875	34397.25	15500.0
ilp24	4.0	2157.718505859375	6.25	8630.8740234375	25.0
ilp25	13.0	9492.21875	83.61538696289062	123398.84375	1087.0
ilp26	6.0	3820.160888671875	6.166666507720947	22920.96484375	37.0
ilp27	2.0	1341.637451171875	12.5	2683.27490234375	25.0
ilp28	4.0	2547.240234375	6.0	10188.9609375	24.0
ilp29	8.0	1270.46484375	7.0	10163.71875	56.0
ilp30	15.0	4724.69580078125	6.599999904632568	70870.4375	99.0
ilp31	6.0	5657.666015625	25.33333396911621	33945.99609375	152.0
ilp32	9.0	2127.9208984375	8.55555534362793	19151.287109375	77.0
ilp33	10.0	4813.92822265625	1175.9000244140625	48139.28125	11759.0
ilp34	2.0	1427.166259765625	6.0	2854.33251953125	12.0
ilp35	6.0	6110.40234375	29.0	36662.4140625	174.0
ilp36	10.0	16432.083984375	269.0	164320.84375	2690.0
ilp37	7.0	73029.5625	3344.0	511206.9375	23408.0
ilp39	5.0	7309.85791015625	86.19999694824219	36549.2890625	431.0
ilp40	10.0	4667.9267578125	8.300000190734863	46679.265625	83.0
ilp42	2.0	4848.47265625	201.5	9696.9453125	403.0
ilp43	3.0	7121.701171875	27.33333396911621	21365.103515625	82.0
ilp44	7.0	7200.2080078125	43.71428680419922	50401.45703125	306.0
ilp45	6.0	22222.373046875	3576.0	133334.234375	21456.0
ilp46	3.0	6058.30322265625	34.0	18174.91015625	102.0
ilp47	4.0	15149.32421875	2000.25	60597.296875	8001.0
ilp49	5.0	3497.83349609375	13.399999618530273	17489.16796875	67.0
ilp50	9.0	19604.587890625	2091.333251953125	176441.296875	18822.0
ilp51	14.0	23208.673828125	1909.142822265625	324921.4375	26728.0
ilp52	4.0	2057.88818359375	11.75	8231.552734375	47.0
ilp53	2.0	2350.12890625	23.5	4700.2578125	47.0
ilp54	4.0	490.8905029296875	9.0	1963.56201171875	36.0
ilp55	6.0	4651.201171875	29.83333396911621	27907.20703125	179.0
ilp56	2.0	3435.43310546875	437.0	6870.8662109375	874.0
ilp57	2.0	3928.054443359375	10.0	7856.10888671875	20.0
ilp58	1.0	4828.83935546875	44.0	4828.83935546875	44.0
ilp59	2.0	9804.591796875	17.0	19609.18359375	34.0
ilp60	18.0	9388.8544921875	2169.666748046875	168999.375	39054.0
ilp61	14.0	5949.6005859375	20.214284896850586	83294.40625	283.0
ilp63	2.0	8509.8076171875	38.5	17019.615234375	77.0
ilp66	2.0	7523.9111328125	20.0	15047.822265625	40.0
ilp67	1.0	3827.390625	45.0	3827.390625	45.0
ilp68	8.0	8988.703125	2174.5	71909.625	17396.0
ilp70	14.0	66433.9609375	1262.642822265625	930075.5	17677.0
ilp72	4.0	1801.548095703125	14.5	7206.1923828125	58.0
ilp73	12.0	23775.986328125	3717.75	285311.84375	44613.0
ilp74	15.0	19775.794921875	1331.6666259765625	296636.9375	19975.0
ilp77	4.0	13915.1796875	3453.5	55660.71875	13814.0
ilp78	20.0	18690.466796875	3428.300048828125	373809.34375	68566.0
ilp79	2.0	1995.7421875	25.0	3991.484375	50.0
ilp86	1.0	502.15625	22.0	502.15625	22.0
ilp89	8.0	3865.194091796875	87.75	30921.552734375	702.0
ilp90	1.0	1690.9599609375	6.0	1690.9599609375	6.0
ilp96	3.0	4806.10693359375	3944.0	14418.3203125	11832.0
ilp98	1.0	4769.7392578125	64.0	4769.7392578125	64.0
ilp102	4.0	25171.25	474.75	100685.0	1899.0
ilp104	1.0	4447.5029296875	19.0	4447.5029296875	19.0
ilp112	7.0	8613.279296875	3816.428466796875	60292.95703125	26715.0
ilp113	5.0	8849.931640625	3831.0	44249.66015625	19155.0
ilp114	2.0	5355.2734375	18.5	10710.546875	37.0
ilp121	3.0	8517.033203125	127.33333587646484	25551.099609375	382.0
ilp125	1.0	9865.306640625	153.0	9865.306640625	153.0
ilp126	1.0	16493.0	3740.0	16493.0	3740.0
ilp127	1.0	3236.73583984375	8.0	3236.73583984375	8.0
ilp136	3.0	43740.9375	1043.6666259765625	131222.8125	3131.0
ilp137	2.0	9811.7109375	67.0	19623.421875	134.0
ilp140	22.0	19132.873046875	3541.636474609375	420923.1875	77916.0
ilp144	2.0	4336.7490234375	2038.0	8673.498046875	4076.0
ilp160	9.0	3306.04296875	10.11111068725586	29754.38671875	91.0
ilp161	5.0	4873.38427734375	70.4000015258789	24366.921875	352.0
ilp162	7.0	2085.263916015625	9.428571701049805	14596.84765625	66.0
ilp163	2.0	2713.2998046875	14.5	5426.599609375	29.0
ilp164	2.0	4385.7685546875	10.5	8771.537109375	21.0
ilp165	4.0	7326.52197265625	1664.25	29306.087890625	6657.0
ilp166	6.0	13053.7744140625	68.16666412353516	78322.6484375	409.0
ilp167	5.0	5148.7275390625	52.599998474121094	25743.63671875	263.0
ilp168	3.0	4194.09130859375	38.66666793823242	12582.2744140625	116.0
ilp169	1.0	5902.66015625	18.0	5902.66015625	18.0
ilp170	4.0	4339.220703125	343.75	17356.8828125	1375.0
ilp171	1.0	2572.786865234375	18.0	2572.786865234375	18.0
ilp172	9.0	10192.29296875	72.77777862548828	91730.640625	655.0
ilp173	2.0	1286.524658203125	14.0	2573.04931640625	28.0
ilp174	8.0	7622.79443359375	50.75	60982.35546875	406.0
ilp175	1.0	8610.26953125	7.0	8610.26953125	7.0
ilp176	5.0	4733.6025390625	30.799999237060547	23668.01171875	154.0
ilp177	2.0	5200.7763671875	156.5	10401.552734375	313.0
ilp178	1.0	18221.359375	79.0	18221.359375	79.0
