Feature	weight	gain	cover	total_gain	total_cover
ilp1	29.0	2745.802978515625	3.344827651977539	79628.2890625	97.0
ilp4	1.0	12559.46875	14.0	12559.46875	14.0
ilp5	3.0	3839.106201171875	10.0	11517.318359375	30.0
ilp6	2.0	3443.694580078125	125.0	6887.38916015625	250.0
ilp14	9.0	4293.78369140625	10.44444465637207	38644.0546875	94.0
ilp15	6.0	6382.02978515625	6.5	38292.1796875	39.0
ilp20	32.0	11282.3720703125	4.875	361035.90625	156.0
ilp21	7.0	1357.4576416015625	7.714285850524902	9502.203125	54.0
ilp22	7.0	4703.35595703125	11.285714149475098	32923.4921875	79.0
ilp23	12.0	5000.82470703125	6.916666507720947	60009.89453125	83.0
ilp24	10.0	5309.7275390625	21.200000762939453	53097.27734375	212.0
ilp25	11.0	7322.10888671875	137.36363220214844	80543.1953125	1511.0
ilp26	8.0	6610.90966796875	35.875	52887.27734375	287.0
ilp27	9.0	3752.239501953125	11.666666984558105	33770.15625	105.0
ilp28	15.0	9820.9462890625	15.466666221618652	147314.1875	232.0
ilp29	8.0	11810.361328125	5.75	94482.890625	46.0
ilp30	11.0	6810.47021484375	6.454545497894287	74915.171875	71.0
ilp31	7.0	8653.1376953125	9.714285850524902	60571.96484375	68.0
ilp32	7.0	3519.677734375	24.714284896850586	24637.744140625	173.0
ilp33	8.0	4813.3193359375	32.5	38506.5546875	260.0
ilp34	5.0	3831.694580078125	9.199999809265137	19158.47265625	46.0
ilp35	5.0	5186.4443359375	10.0	25932.220703125	50.0
ilp36	8.0	9501.5634765625	36.375	76012.5078125	291.0
ilp39	1.0	22957.1640625	29.0	22957.1640625	29.0
ilp40	4.0	3831.083251953125	44.25	15324.3330078125	177.0
ilp42	3.0	6398.04833984375	167.3333282470703	19194.14453125	502.0
ilp43	1.0	2911.3603515625	12.0	2911.3603515625	12.0
ilp44	5.0	3613.538330078125	5.800000190734863	18067.69140625	29.0
ilp46	12.0	12985.4306640625	9.75	155825.171875	117.0
ilp47	5.0	31617.822265625	10.199999809265137	158089.109375	51.0
ilp48	6.0	6643.435546875	18.33333396911621	39860.61328125	110.0
ilp49	6.0	16440.984375	43.33333206176758	98645.90625	260.0
ilp50	8.0	7702.25	12.125	61618.0	97.0
ilp52	1.0	1322.2998046875	12.0	1322.2998046875	12.0
ilp53	3.0	3189.2119140625	10.0	9567.6357421875	30.0
ilp54	7.0	8613.1337890625	547.0	60291.93359375	3829.0
ilp55	21.0	6348.10400390625	7.142857074737549	133310.1875	150.0
ilp56	1.0	3841.62890625	9.0	3841.62890625	9.0
ilp57	2.0	3078.5908203125	22.0	6157.181640625	44.0
ilp58	2.0	8264.6328125	20.5	16529.265625	41.0
ilp59	2.0	21353.4375	3846.0	42706.875	7692.0
ilp60	5.0	9652.0673828125	19.0	48260.3359375	95.0
ilp61	1.0	16442.25	12.0	16442.25	12.0
ilp63	1.0	2886.710693359375	9.0	2886.710693359375	9.0
ilp68	1.0	2372.2177734375	18.0	2372.2177734375	18.0
ilp69	1.0	6972.63232421875	3869.0	6972.63232421875	3869.0
ilp70	1.0	13138.625	29.0	13138.625	29.0
ilp71	2.0	3104.00146484375	7.0	6208.0029296875	14.0
ilp72	2.0	46441.375	21.0	92882.75	42.0
ilp78	1.0	16132.0	16.0	16132.0	16.0
ilp80	1.0	4193.4189453125	15.0	4193.4189453125	15.0
ilp81	1.0	7593.62841796875	6.0	7593.62841796875	6.0
ilp89	7.0	11234.9404296875	13.0	78644.5859375	91.0
ilp90	1.0	774.1566772460938	10.0	774.1566772460938	10.0
ilp91	5.0	10816.060546875	37.79999923706055	54080.3046875	189.0
ilp94	11.0	8056.697265625	24.363636016845703	88623.671875	268.0
ilp105	1.0	4783.0537109375	55.0	4783.0537109375	55.0
ilp118	1.0	7404.5078125	9.0	7404.5078125	9.0
ilp120	19.0	12133.3935546875	3793.578857421875	230534.46875	72078.0
ilp125	2.0	27680.0	3873.0	55360.0	7746.0
ilp140	2.0	20258.0	3873.5	40516.0	7747.0
ilp142	5.0	17575.556640625	21.0	87877.78125	105.0
ilp144	5.0	8711.576171875	3782.0	43557.87890625	18910.0
ilp159	1.0	2070.81787109375	6.0	2070.81787109375	6.0
ilp160	12.0	5639.1875	7.416666507720947	67670.25	89.0
ilp161	13.0	7823.1015625	36.769229888916016	101700.3203125	478.0
ilp162	2.0	3658.0712890625	11.0	7316.142578125	22.0
ilp163	3.0	15355.2783203125	110.0	46065.8359375	330.0
