Feature	weight	gain	cover	total_gain	total_cover
ilp1	32.0	20740.841796875	3.40625	663706.9375	109.0
ilp5	4.0	4421.10791015625	5.0	17684.431640625	20.0
ilp14	17.0	7454.77490234375	5.882352828979492	126731.171875	100.0
ilp15	17.0	10851.201171875	19.235294342041016	184470.421875	327.0
ilp20	18.0	8659.6982421875	5.94444465637207	155874.5625	107.0
ilp21	3.0	4125.84228515625	3.6666667461395264	12377.52734375	11.0
ilp22	4.0	21947.251953125	24.0	87789.0078125	96.0
ilp23	14.0	14972.765625	9.428571701049805	209618.71875	132.0
ilp24	9.0	23249.767578125	30.11111068725586	209247.90625	271.0
ilp25	3.0	27707.255859375	28.33333396911621	83121.765625	85.0
ilp26	7.0	9272.6201171875	5.142857074737549	64908.33984375	36.0
ilp27	4.0	14466.685546875	9.75	57866.7421875	39.0
ilp28	7.0	15378.9169921875	7.4285712242126465	107652.421875	52.0
ilp29	2.0	5533.4189453125	7.5	11066.837890625	15.0
ilp30	5.0	6727.5205078125	4.0	33637.6015625	20.0
ilp31	6.0	22452.111328125	3241.833251953125	134712.671875	19451.0
ilp32	8.0	21541.064453125	13.375	172328.515625	107.0
ilp33	4.0	25372.59375	982.0	101490.375	3928.0
ilp34	4.0	4121.87841796875	6.75	16487.513671875	27.0
ilp35	3.0	18774.298828125	6.333333492279053	56322.8984375	19.0
ilp36	2.0	20301.5859375	18.5	40603.171875	37.0
ilp39	4.0	13881.76171875	16.25	55527.046875	65.0
ilp40	3.0	31877.455078125	39.66666793823242	95632.3671875	119.0
ilp41	1.0	2144.015625	4.0	2144.015625	4.0
ilp43	4.0	16007.634765625	19.0	64030.5390625	76.0
ilp44	10.0	47755.0	24.5	477550.0	245.0
ilp46	10.0	33779.62890625	16.299999237060547	337796.28125	163.0
ilp47	9.0	17997.421875	7.44444465637207	161976.796875	67.0
ilp48	10.0	16546.80859375	10.100000381469727	165468.09375	101.0
ilp50	1.0	13883.74609375	3.0	13883.74609375	3.0
ilp51	11.0	49878.61328125	1870.9090576171875	548664.75	20580.0
ilp52	3.0	16290.8125	12.666666984558105	48872.4375	38.0
ilp54	3.0	19094.359375	11.0	57283.078125	33.0
