Feature	weight	gain	cover	total_gain	total_cover
ilp1	38.0	368292.0	3.78947377204895	13995096.0	144.0
ilp4	1.0	697640.0	11.0	697640.0	11.0
ilp14	20.0	577149.625	17.200000762939453	11542992.0	344.0
ilp15	10.0	469271.40625	8.199999809265137	4692714.0	82.0
ilp20	40.0	830123.0	8.25	33204920.0	330.0
ilp21	4.0	294851.78125	5.0	1179407.125	20.0
ilp22	11.0	871819.375	7.909090995788574	9590013.0	87.0
ilp23	5.0	1089780.75	6.599999904632568	5448903.5	33.0
ilp24	17.0	591913.375	3.8235294818878174	10062527.0	65.0
ilp25	7.0	1040755.6875	2259.428466796875	7285290.0	15816.0
ilp26	8.0	421490.0625	16.5	3371920.5	132.0
ilp27	16.0	1082742.125	20.125	17323874.0	322.0
ilp28	15.0	671279.3125	7.400000095367432	10069190.0	111.0
ilp29	1.0	188504.875	9.0	188504.875	9.0
ilp30	3.0	544399.0	26.33333396911621	1633197.0	79.0
ilp31	4.0	466551.5	12.0	1866206.0	48.0
ilp32	6.0	1501017.375	37.33333206176758	9006104.0	224.0
ilp33	9.0	658649.75	17.77777862548828	5927847.5	160.0
ilp34	2.0	327182.96875	4.5	654365.9375	9.0
ilp35	20.0	1595316.75	985.0999755859375	31906334.0	19702.0
ilp36	11.0	1610414.75	19.363636016845703	17714562.0	213.0
ilp39	2.0	1446488.0	20.0	2892976.0	40.0
ilp40	1.0	736370.375	46.0	736370.375	46.0
ilp42	2.0	526438.0625	40.0	1052876.125	80.0
ilp43	2.0	233569.375	7.5	467138.75	15.0
ilp44	1.0	102889.2109375	7.0	102889.2109375	7.0
ilp46	7.0	1807326.375	36.0	12651285.0	252.0
ilp47	3.0	709274.3125	7.333333492279053	2127823.0	22.0
ilp48	3.0	498904.53125	6.666666507720947	1496713.625	20.0
ilp49	3.0	1548899.0	75.66666412353516	4646697.0	227.0
ilp50	11.0	779411.1875	13.727272987365723	8573523.0	151.0
ilp51	6.0	973922.5	13.5	5843535.0	81.0
ilp52	4.0	1263672.875	16.0	5054691.5	64.0
ilp53	3.0	1116247.5	28.66666603088379	3348742.5	86.0
ilp54	9.0	1181517.25	3035.77783203125	10633655.0	27322.0
ilp55	7.0	473230.40625	26.85714340209961	3312612.75	188.0
ilp56	1.0	318580.53125	16.0	318580.53125	16.0
ilp58	2.0	777025.0625	52.0	1554050.125	104.0
ilp59	3.0	282005.46875	29.66666603088379	846016.4375	89.0
ilp60	2.0	506551.40625	24.0	1013102.8125	48.0
ilp62	1.0	535904.1875	10.0	535904.1875	10.0
ilp66	1.0	245465.75	8.0	245465.75	8.0
ilp67	1.0	2238604.0	28.0	2238604.0	28.0
ilp71	1.0	1373052.5	66.0	1373052.5	66.0
ilp72	1.0	1427692.25	111.0	1427692.25	111.0
ilp73	1.0	1476110.0	5.0	1476110.0	5.0
ilp74	4.0	1408894.75	3836.0	5635579.0	15344.0
ilp78	1.0	457053.125	6.0	457053.125	6.0
ilp79	1.0	544653.0	7.0	544653.0	7.0
ilp89	5.0	713184.75	10.600000381469727	3565923.75	53.0
